Method,Accuracy,Precision,Recall,F1,ROC_AUC
Normal Random Forest,0.8764044943820225,0.3333333333333333,0.1,0.15384615384615385,0.6835443037974683
Class Weighted Random Forest,0.8426966292134831,0.25,0.2,0.2222222222222222,0.7113924050632912
SMOTE Random Forest,0.8089887640449438,0.23076923076923078,0.3,0.2608695652173913,0.7518987341772152
