Model,Accuracy,Precision,Recall,F1,ROC_AUC
Logistic Regression,0.8651685393258427,0.0,0.0,0.0,0.8240506329113924
Decision Tree,0.7528089887640449,0.07142857142857142,0.1,0.08333333333333333,0.4620253164556962
Random Forest,0.8764044943820225,0.3333333333333333,0.1,0.15384615384615385,0.6835443037974683
XGBoost,0.8426966292134831,0.16666666666666666,0.1,0.125,0.6797468354430379
